,net
0,-1636190.6000000015
1,-202795.20000000112
2,-202795.20000000112
3,-202795.20000000112
4,-202795.20000000112
5,1230600.1999999974
6,-2352888.3000000026
7,-5219679.1000000015
8,2663995.599999996
9,513902.49999999814
10,-202795.20000000112
11,-202795.20000000112
12,-5219679.1000000015
13,1230600.1999999974
14,-1636190.6000000015
15,1230600.1999999974
16,1230600.1999999974
17,-202795.20000000112
18,-202795.20000000112
19,-202795.20000000112
20,1230600.1999999974
21,-1636190.6000000015
22,-2352888.3000000026
23,513902.49999999814
24,-202795.20000000112
25,-202795.20000000112
26,-2352888.3000000026
27,-1636190.6000000015
28,513902.49999999814
29,-202795.20000000112
