,dow,dom,month,year,in_demand,out_demand,prev_holi,pos_holi
117,1,26,10,2014,0.0,0.0,0,0
118,2,27,10,2014,3686402286.0,3154493255.0,0,0
119,3,28,10,2014,3167093524.0,2946081425.0,0,0
120,4,29,10,2014,2554300843.0,2456517834.0,0,0
121,5,30,10,2014,3149781202.0,2960333318.0,0,0
122,6,31,10,2014,4022517140.0,4369146686.0,0,0
123,7,1,11,2014,0.0,0.0,0,0
124,1,2,11,2014,0.0,0.0,0,0
125,2,3,11,2014,4675576324.0,4612912566.0,0,0
126,3,4,11,2014,3870986560.0,3712007210.0,0,0
127,4,5,11,2014,4062225031.0,4648412110.0,0,1
128,5,6,11,2014,0.0,0.0,0,0
129,6,7,11,2014,7218878200.0,7659733713.0,1,0
130,7,8,11,2014,0.0,0.0,0,0
131,1,9,11,2014,0.0,0.0,0,0
132,2,10,11,2014,6493197111.0,5608023409.0,0,0
133,3,11,11,2014,6532940891.0,6310254465.0,0,0
134,4,12,11,2014,929676818.0,1535258136.0,0,0
135,5,13,11,2014,1278299675.0,1234971425.0,0,0
136,6,14,11,2014,7455794164.0,7973005743.0,0,0
137,7,15,11,2014,0.0,0.0,0,0
138,1,16,11,2014,0.0,0.0,0,0
139,2,17,11,2014,4915759581.0,4064543484.0,0,0
140,3,18,11,2014,4127563065.0,4181048727.0,0,0
141,4,19,11,2014,2637802080.0,2669036609.0,0,0
142,5,20,11,2014,2931738790.0,2823255379.0,0,0
143,6,21,11,2014,3350184639.0,3900055841.0,0,1
144,7,22,11,2014,0.0,0.0,0,0
145,1,23,11,2014,0.0,0.0,0,0
146,2,24,11,2014,0.0,0.0,0,0
147,3,25,11,2014,3636205936.0,3159027395.0,1,0
148,4,26,11,2014,4304717482.0,4041553859.0,0,0
149,5,27,11,2014,2628041697.0,2888886611.0,0,0
150,6,28,11,2014,3053050013.0,3498946466.0,0,0
151,7,29,11,2014,0.0,0.0,0,0
152,1,30,11,2014,0.0,0.0,0,0
153,2,1,12,2014,4420430603.0,3436412062.0,0,0
154,3,2,12,2014,3167255504.0,4119454331.0,0,0
155,4,3,12,2014,4149003874.0,3813769844.0,0,0
156,5,4,12,2014,3930152385.0,3880048257.0,0,0
157,6,5,12,2014,6201146696.0,6301815494.0,0,1
158,7,6,12,2014,0.0,0.0,0,0
159,1,7,12,2014,0.0,0.0,0,0
160,2,8,12,2014,0.0,0.0,0,0
161,3,9,12,2014,5319837149.0,4690704170.0,1,0
162,4,10,12,2014,3877934784.0,4029694099.0,0,0
163,5,11,12,2014,5755754557.0,5786434062.0,0,0
164,6,12,12,2014,4181627407.0,4697215436.0,0,0
165,7,13,12,2014,0.0,0.0,0,0
166,1,14,12,2014,0.0,0.0,0,0
167,2,15,12,2014,5929451009.0,5106522087.0,0,0
168,3,16,12,2014,3286104329.0,3819984355.0,0,0
169,4,17,12,2014,3182309564.0,3421680615.0,0,0
170,5,18,12,2014,3978821372.0,3969658542.0,0,0
171,6,19,12,2014,4606302294.0,4777470066.0,0,0
172,7,20,12,2014,0.0,0.0,0,0
173,1,21,12,2014,0.0,0.0,0,0
174,2,22,12,2014,6200573147.0,5546274460.0,0,0
175,3,23,12,2014,4317229834.0,5247368595.0,0,0
176,4,24,12,2014,3720361055.0,2109628546.0,0,2
177,5,25,12,2014,0.0,0.0,0,0
178,6,26,12,2014,0.0,0.0,0,0
179,7,27,12,2014,0.0,0.0,0,0
180,1,28,12,2014,0.0,0.0,0,0
181,2,29,12,2014,5878321934.0,6107310006.0,2,0
182,3,30,12,2014,3835447019.0,4271392196.0,0,2
183,4,31,12,2014,0.0,0.0,0,0
184,5,1,1,2015,0.0,0.0,0,0
185,6,2,1,2015,4906760289.0,6582727306.0,2,0
186,7,3,1,2015,0.0,0.0,0,0
187,1,4,1,2015,0.0,0.0,0,0
188,2,5,1,2015,5295665284.0,3707557329.0,0,0
189,3,6,1,2015,3399861380.0,3389192961.0,0,0
190,4,7,1,2015,3550975119.0,3624123186.0,0,0
191,5,8,1,2015,3577396489.0,3747356302.0,0,0
192,6,9,1,2015,3936465187.0,4396659824.0,0,0
193,7,10,1,2015,0.0,0.0,0,0
194,1,11,1,2015,0.0,0.0,0,0
195,2,12,1,2015,5516057434.0,4930163999.0,0,0
196,3,13,1,2015,3800878300.0,3910373546.0,0,0
197,4,14,1,2015,3222790190.0,3199823179.0,0,0
198,5,15,1,2015,3850506433.0,3578165431.0,0,0
199,6,16,1,2015,3852628734.0,4071596367.0,0,0
200,7,17,1,2015,0.0,0.0,0,0
201,1,18,1,2015,0.0,0.0,0,0
202,2,19,1,2015,3832009254.0,3679111837.0,0,0
203,3,20,1,2015,2468994278.0,2809246615.0,0,0
204,4,21,1,2015,2827811260.0,2831670822.0,0,0
205,5,22,1,2015,2610253476.0,2620308944.0,0,0
206,6,23,1,2015,2687881418.0,3258641144.0,0,0
207,7,24,1,2015,0.0,0.0,0,0
208,1,25,1,2015,0.0,0.0,0,0
209,2,26,1,2015,3796121921.0,3465458740.0,0,0
210,3,27,1,2015,2898117995.0,2781841862.0,0,0
211,4,28,1,2015,2214526319.0,2304012064.0,0,0
212,5,29,1,2015,3549801453.0,3082651946.0,0,0
213,6,30,1,2015,3185101784.0,3524824957.0,0,0
214,7,31,1,2015,0.0,0.0,0,0
215,1,1,2,2015,0.0,0.0,0,0
216,2,2,2,2015,4190781591.0,3862400419.0,0,0
217,3,3,2,2015,3369734269.0,3625932827.0,0,0
218,4,4,2,2015,2731007543.0,2772993675.0,0,0
219,5,5,2,2015,3507627151.0,3342196211.0,0,0
220,6,6,2,2015,3812805144.0,4033807814.0,0,0
