,net
0,-499880.0
1,-499880.0
2,-499880.0
3,-499880.0
4,-499880.0
5,-499880.0
6,-499880.0
7,-7747572.799999982
8,-499880.0
9,-499880.0
10,-499880.0
11,-499880.0
12,-499880.0
13,-7747572.799999982
14,-499880.0
15,-499880.0
16,-7747572.799999982
17,-499880.0
18,-499880.0
19,-499880.0
20,-499880.0
21,-499880.0
22,-499880.0
23,-499880.0
24,-499880.0
25,-499880.0
26,-499880.0
27,-7747572.799999982
28,-499880.0
29,-499880.0
