,dow,dom,month,year,in_demand,out_demand,prev_holi,pos_holi
0,3,1,7,2014,128969519.0,129683944.0,0,0
1,4,2,7,2014,202060122.0,204596762.0,0,0
2,5,3,7,2014,250292177.0,251793952.0,0,0
3,6,4,7,2014,255803576.0,252611657.0,0,0
4,7,5,7,2014,0.0,0.0,0,0
5,1,6,7,2014,0.0,0.0,0,0
6,2,7,7,2014,261770312.0,257431621.0,0,0
7,3,8,7,2014,88725051.0,92506931.0,0,1
8,4,9,7,2014,0.0,0.0,0,0
9,5,10,7,2014,334660030.0,330866175.0,1,0
10,6,11,7,2014,291740381.0,293535716.0,0,0
11,7,12,7,2014,0.0,0.0,0,0
12,1,13,7,2014,0.0,0.0,0,0
13,2,14,7,2014,197201152.0,196900862.0,0,0
14,3,15,7,2014,218484661.0,217474336.0,0,0
15,4,16,7,2014,203593944.0,206635969.0,0,0
16,5,17,7,2014,206028910.0,205437010.0,0,0
17,6,18,7,2014,215926641.0,216469671.0,0,0
18,7,19,7,2014,0.0,0.0,0,0
19,1,20,7,2014,0.0,0.0,0,0
20,2,21,7,2014,268884918.0,268589558.0,0,0
21,3,22,7,2014,292228002.0,292769747.0,0,0
22,4,23,7,2014,283852280.0,282622850.0,0,0
23,5,24,7,2014,274962834.0,275046234.0,0,0
24,6,25,7,2014,417228679.0,420809099.0,0,0
25,7,26,7,2014,0.0,0.0,0,0
26,1,27,7,2014,0.0,0.0,0,0
27,2,28,7,2014,200095078.0,196120733.0,0,0
28,3,29,7,2014,172257787.0,171937022.0,0,0
29,4,30,7,2014,157154217.0,155428792.0,0,0
30,5,31,7,2014,133377176.0,133473676.0,0,0
31,6,1,8,2014,204013039.0,205288064.0,0,0
32,7,2,8,2014,0.0,0.0,0,0
33,1,3,8,2014,0.0,0.0,0,0
34,2,4,8,2014,218664653.0,219435823.0,0,0
35,3,5,8,2014,143145607.0,145531707.0,0,0
36,4,6,8,2014,207466741.0,210205591.0,0,0
37,5,7,8,2014,144279130.0,140192380.0,0,0
38,6,8,8,2014,220512340.0,221013740.0,0,0
39,7,9,8,2014,0.0,0.0,0,0
40,1,10,8,2014,0.0,0.0,0,0
41,2,11,8,2014,242931880.0,242879630.0,0,0
42,3,12,8,2014,219328909.0,219136859.0,0,0
43,4,13,8,2014,165574620.0,166239720.0,0,0
44,5,14,8,2014,164522092.0,164977797.0,0,0
45,6,15,8,2014,201113987.0,199922917.0,0,1
46,7,16,8,2014,0.0,0.0,0,0
47,1,17,8,2014,0.0,0.0,0,0
48,2,18,8,2014,0.0,0.0,0,0
49,3,19,8,2014,291089588.0,288739218.0,1,0
50,4,20,8,2014,272389506.0,272904506.0,0,0
51,5,21,8,2014,224678155.0,221974530.0,0,0
52,6,22,8,2014,139178763.0,142385663.0,0,0
53,7,23,8,2014,0.0,0.0,0,0
54,1,24,8,2014,0.0,0.0,0,0
55,2,25,8,2014,160734629.0,161268654.0,0,0
56,3,26,8,2014,186864005.0,188365405.0,0,0
57,4,27,8,2014,214780681.0,215867031.0,0,1
58,5,28,8,2014,0.0,0.0,0,0
59,6,29,8,2014,195709227.0,193032252.0,1,0
60,7,30,8,2014,0.0,0.0,0,0
61,1,31,8,2014,0.0,0.0,0,0
62,2,1,9,2014,202806630.0,204811975.0,0,0
63,3,2,9,2014,242692593.0,244729473.0,0,0
64,4,3,9,2014,136001203.0,132898903.0,0,0
65,5,4,9,2014,328233180.0,327979195.0,0,0
66,6,5,9,2014,219432115.0,218153565.0,0,0
67,7,6,9,2014,0.0,0.0,0,0
68,1,7,9,2014,0.0,0.0,0,0
69,2,8,9,2014,287214929.0,289656264.0,0,0
70,3,9,9,2014,206483784.0,202967159.0,0,0
71,4,10,9,2014,215908627.0,211336242.0,0,0
72,5,11,9,2014,168563283.0,171860108.0,0,0
73,6,12,9,2014,186622985.0,188182240.0,0,0
74,7,13,9,2014,0.0,0.0,0,0
75,1,14,9,2014,0.0,0.0,0,0
76,2,15,9,2014,253441198.0,256678118.0,0,0
77,3,16,9,2014,179683045.0,177215170.0,0,0
78,4,17,9,2014,157764107.0,158844247.0,0,0
79,5,18,9,2014,235241704.0,234653454.0,0,0
80,6,19,9,2014,159535350.0,159178690.0,0,0
81,7,20,9,2014,0.0,0.0,0,0
82,1,21,9,2014,0.0,0.0,0,0
83,2,22,9,2014,193320972.0,193046572.0,0,0
84,3,23,9,2014,189265721.0,190035596.0,0,0
85,4,24,9,2014,198329747.0,198216197.0,0,0
86,5,25,9,2014,223816834.0,223666934.0,0,0
87,6,26,9,2014,212286807.0,214334157.0,0,0
88,7,27,9,2014,0.0,0.0,0,0
89,1,28,9,2014,0.0,0.0,0,0
90,2,29,9,2014,227132528.0,225341928.0,0,0
91,3,30,9,2014,192543002.0,194464502.0,0,0
92,4,1,10,2014,193910323.0,193251503.0,0,0
93,5,2,10,2014,161961762.0,163213037.0,0,0
94,6,3,10,2014,209181505.0,202145180.0,0,0
95,7,4,10,2014,0.0,0.0,0,0
96,1,5,10,2014,0.0,0.0,0,0
97,2,6,10,2014,214765936.0,215937546.0,0,0
98,3,7,10,2014,274371467.0,277215222.0,0,0
