Fecha;MontoCierre
08/07/2015;27009396.91
10/07/2015;19048177.25
13/07/2015;29817931.3
14/07/2015;28817122.05
15/07/2015;21046147.16
16/07/2015;19801572.38
17/07/2015;17735183.57
20/07/2015;18287469.28
21/07/2015;17718724.14
22/07/2015;16750237.3
23/07/2015;17379214.29
24/07/2015;16741579.89
27/07/2015;17708139.92
28/07/2015;15942022.32
29/07/2015;14021143.49
30/07/2015;13564750.67
31/07/2015;13682208.01
03/08/2015;17379411.92
04/08/2015;12812489.61
05/08/2015;12912721.05
06/08/2015;15683524.88
07/08/2015;16877836.92
10/08/2015;18300266.5
11/08/2015;12901303.6
12/08/2015;14651009.77
13/08/2015;15466224.56
14/08/2015;12201027.45
18/08/2015;15144886.84
19/08/2015;12574392.95
20/08/2015;8693802.38
21/08/2015;9530728.36
24/08/2015;17828189.86
25/08/2015;12317390.11
26/08/2015;12189590.4
27/08/2015;11832638.37
28/08/2015;8724296.87
31/08/2015;14821520.12
01/09/2015;10304575.33
02/09/2015;7105329.05
03/09/2015;14079291.8
04/09/2015;14206885.79
07/09/2015;17691448.37
08/09/2015;14075397.21
09/09/2015;17295370
10/09/2015;16581549.85
11/09/2015;13044283.63
14/09/2015;17743455.88
16/09/2015;15446410.58
17/09/2015;17993028.03
18/09/2015;11172367.57
21/09/2015;15249131.88
22/09/2015;13680273.79
23/09/2015;14251821.71
24/09/2015;12282195.86
25/09/2015;9216762.01
28/09/2015;13791586.35
29/09/2015;19104352.88
30/09/2015;13799921.02
01/10/2015;14314152.73
02/10/2015;6445068.72
05/10/2015;13409211.99
06/10/2015;14559866.05
07/10/2015;11222314.73
08/10/2015;14782750.96
09/10/2015;9485406.53
13/10/2015;24164757.78
14/10/2015;17727879.71
15/10/2015;14131575.81
16/10/2015;10586334.11
19/10/2015;19291854.01
20/10/2015;13298232.58
21/10/2015;11182115.12
22/10/2015;11400031.77
23/10/2015;11868187.75
26/10/2015;12570528.3
27/10/2015;12288478.55
28/10/2015;12260351.5
29/10/2015;16259945.4
30/10/2015;8064736.76
02/11/2015;12165004.07
03/11/2015;13483951.9
04/11/2015;14584517.17
05/11/2015;10290859.22
09/11/2015;16694296.62
10/11/2015;15504433.88
11/11/2015;14904568.45
12/11/2015;12275825.83
13/11/2015;11108228.2
16/11/2015;17116670.21
17/11/2015;13591650.37
18/11/2015;12301329.92
19/11/2015;11503591.68
20/11/2015;7529626.77
23/11/2015;9302516.48
24/11/2015;10045605.89
25/11/2015;13043723.28
26/11/2015;10622194.1
30/11/2015;16340303.85
01/12/2015;11127224.92
02/12/2015;9179074.68
03/12/2015;18595944.95
04/12/2015;10952485.76
09/12/2015;15674884.68
10/12/2015;10911267.03
11/12/2015;8712505.6
14/12/2015;16820006.83
15/12/2015;16361708.04
16/12/2015;14410169.87
17/12/2015;15912364.3
18/12/2015;8486911.52
21/12/2015;10209138.02
22/12/2015;16777312.1
23/12/2015;13543635.19
24/12/2015;11082435.03
28/12/2015;14630838.73
29/12/2015;16803549.46
30/12/2015;16363397.26
31/12/2015;18236696.66
04/01/2016;24902408.65
05/01/2016;14104470.22
06/01/2016;12112369.58
07/01/2016;14861086.58
08/01/2016;11176942.94
11/01/2016;15704179.7
12/01/2016;10207807.62
13/01/2016;11276285.86
14/01/2016;12852458.57
15/01/2016;8984088.46
18/01/2016;16788378.96
19/01/2016;14747662.55
20/01/2016;13896050.36
21/01/2016;15200147.15
22/01/2016;10849769.05
25/01/2016;13425556.38
26/01/2016;14281611.74
27/01/2016;9157705.07
28/01/2016;8054209.01
29/01/2016;6733123.52
01/02/2016;16157235.3
02/02/2016;16539305.85
03/02/2016;11682122.7
04/02/2016;15913699.98
05/02/2016;9582839.21
10/02/2016;17335863.08
11/02/2016;14887972.06
12/02/2016;10068182.2
15/02/2016;9144506.78
16/02/2016;9253897.11
17/02/2016;7278536.04
18/02/2016;7482718.32
19/02/2016;8614749.7
22/02/2016;8809543.76
23/02/2016;6022219.19
24/02/2016;7669093.97
25/02/2016;8791725.72
26/02/2016;8611254.3
29/02/2016;13545266.2
01/03/2016;13357048.31
02/03/2016;13979693.87
03/03/2016;14434723.69
04/03/2016;9548362.69
07/03/2016;12482958.98
08/03/2016;10504395.37
09/03/2016;11323460.63
10/03/2016;12482340.75
11/03/2016;10589377.49
14/03/2016;12829629.11
15/03/2016;11035967.5
16/03/2016;9606478.19
17/03/2016;9039474.27
18/03/2016;9361407.57
21/03/2016;13263032.2
22/03/2016;14403934.5
23/03/2016;7938810.45
28/03/2016;13256377.7
29/03/2016;13379578.47
30/03/2016;12979400.7
31/03/2016;10990726.63
01/04/2016;11284701.08
04/04/2016;13376078.8
05/04/2016;11327328.86
