Fecha;MontoCierre
02/01/2014;1014051.3
03/01/2014;911999.75
06/01/2014;816375.35
07/01/2014;1368135.2
08/01/2014;1188618.9
09/01/2014;895578.5
10/01/2014;726500.8
13/01/2014;850378.1
14/01/2014;927621.75
15/01/2014;879327
16/01/2014;1281788.15
17/01/2014;1005408.05
20/01/2014;733960.05
21/01/2014;780750.9
22/01/2014;428530.8
23/01/2014;441561.6
24/01/2014;404749.4
27/01/2014;943606.4
28/01/2014;421025.85
29/01/2014;716768.55
30/01/2014;517125.15
31/01/2014;1129271.15
03/02/2014;925074.1
04/02/2014;794438.2
05/02/2014;777711.4
06/02/2014;503822.5
07/02/2014;581611.65
10/02/2014;1047099.3
11/02/2014;310211.6
12/02/2014;957082.6
13/02/2014;973401.2
14/02/2014;578683.5
17/02/2014;481009.85
18/02/2014;964565.9
19/02/2014;1179623.6
20/02/2014;1351316.2
21/02/2014;1270129.95
24/02/2014;1007839.65
25/02/2014;932917.5
26/02/2014;588927.5
27/02/2014;604449.05
28/02/2014;562720.4
05/03/2014;920234.85
06/03/2014;762570.95
07/03/2014;340430.3
10/03/2014;880110.85
11/03/2014;1475424.65
12/03/2014;1350408.6
13/03/2014;457271.45
14/03/2014;835090.9
17/03/2014;1031687.2
18/03/2014;1268409.05
19/03/2014;1266388.1
20/03/2014;1215625.85
21/03/2014;721438.55
25/03/2014;1246503.5
26/03/2014;676565.6
27/03/2014;1090517.25
28/03/2014;706668.45
31/03/2014;979120.85
01/04/2014;275925.05
03/04/2014;488662.4
04/04/2014;1283606
07/04/2014;1618518.8
08/04/2014;1406722
09/04/2014;1137224.8
10/04/2014;841795.35
11/04/2014;645444
14/04/2014;699455.55
15/04/2014;700237.45
16/04/2014;1538442.2
21/04/2014;1744401.75
22/04/2014;1779200.5
23/04/2014;1133536
24/04/2014;1528845
25/04/2014;759623
28/04/2014;241854.85
29/04/2014;899459.2
30/04/2014;804518.95
05/05/2014;581410.65
06/05/2014;1121667.5
07/05/2014;1215243.55
08/05/2014;921454.14
09/05/2014;1288652.05
12/05/2014;1031279.03
13/05/2014;1559410.85
14/05/2014;1440228.45
15/05/2014;949038.05
16/05/2014;2107790.5
19/05/2014;1653793
20/05/2014;1528194.65
21/05/2014;1525445.25
22/05/2014;1575469.65
23/05/2014;1136427.15
26/05/2014;1262152
27/05/2014;1540573.5
28/05/2014;1737463.3
29/05/2014;1317206.2
30/05/2014;425053.35
02/06/2014;939050.2
03/06/2014;305545.65
04/06/2014;1727902.75
05/06/2014;1863599.35
06/06/2014;1765747.65
09/06/2014;2247007.9
10/06/2014;1482367
11/06/2014;2186375.35
12/06/2014;1728069.5
13/06/2014;1884148
16/06/2014;2342994.75
17/06/2014;1612719
18/06/2014;953855
19/06/2014;1275011.1
23/06/2014;1549775.15
24/06/2014;1518068.05
25/06/2014;1088753.25
26/06/2014;566258.45
27/06/2014;1081349
30/06/2014;606117
01/07/2014;711170.25
02/07/2014;1276955
03/07/2014;623135
04/07/2014;1737991
07/07/2014;1378048.1
08/07/2014;1705164.35
10/07/2014;1662210.1
11/07/2014;1633650.4
14/07/2014;1876770.1
15/07/2014;1604587.4
16/07/2014;1493594
17/07/2014;1104888.8
18/07/2014;778084
21/07/2014;816357
22/07/2014;680409
23/07/2014;1136501.7
24/07/2014;443712.6
25/07/2014;885753
28/07/2014;1220574
29/07/2014;985034.3
30/07/2014;1908350
31/07/2014;873516.6
01/08/2014;915556.45
04/08/2014;347181.7
05/08/2014;801955.8
06/08/2014;1574643.3
07/08/2014;1370181.8
08/08/2014;1393414.25
11/08/2014;2464471.2
12/08/2014;1511449.55
13/08/2014;1777361.3
14/08/2014;1730285
15/08/2014;2132764.3
19/08/2014;2545468.3
20/08/2014;1385482.75
21/08/2014;2440848
22/08/2014;862806.37
25/08/2014;1123534.3
26/08/2014;1043586.85
27/08/2014;823785
28/08/2014;823785
29/08/2014;171941.2
01/09/2014;821864
02/09/2014;1497734.5
03/09/2014;1417958.9
04/09/2014;1416164.25
05/09/2014;1179229.5
08/09/2014;1333834
09/09/2014;1222413
10/09/2014;1086461.4
11/09/2014;842460.25
12/09/2014;558004.75
15/09/2014;1563489.75
16/09/2014;1943285.6
17/09/2014;1612176.15
18/09/2014;1559451.55
19/09/2014;943551.55
22/09/2014;912664.95
23/09/2014;851506.65
24/09/2014;889647.15
25/09/2014;1455518
26/09/2014;1368591.95
29/09/2014;1769943.95
30/09/2014;1639082.45
01/10/2014;1446993.45
02/10/2014;1051755.5
03/10/2014;507498.1
06/10/2014;1103977.95
07/10/2014;1259431.3
08/10/2014;1249095.7
09/10/2014;1580859.9
10/10/2014;1434091.9
14/10/2014;2242684.15
15/10/2014;1626765.25
16/10/2014;1852287.2
17/10/2014;1603570.4
20/10/2014;1037145.45
21/10/2014;1272345.85
22/10/2014;1258747.35
23/10/2014;890695.75
24/10/2014;740478.85
27/10/2014;383146.75
28/10/2014;1353503.7
29/10/2014;1784226.8
30/10/2014;1464843.6
31/10/2014;913649
03/11/2014;914482.1
04/11/2014;704129.9
05/11/2014;777303.4
07/11/2014;857239.8
10/11/2014;1706271.15
11/11/2014;1314258.35
12/11/2014;932589.65
13/11/2014;895935.85
14/11/2014;1249427.05
17/11/2014;795371.65
18/11/2014;876904.3
19/11/2014;507560.5
20/11/2014;1828642
21/11/2014;1701321.5
25/11/2014;1730771.5
26/11/2014;1216566.75
27/11/2014;1154353
28/11/2014;835425.25
01/12/2014;1033101.25
02/12/2014;598784.8
03/12/2014;1006076.55
04/12/2014;2019249.7
05/12/2014;2030819.3
09/12/2014;2061090
10/12/2014;1849151.6
11/12/2014;1627401.6
12/12/2014;806127
15/12/2014;926857.25
16/12/2014;1534682.1
17/12/2014;1053313.5
18/12/2014;487380
19/12/2014;1087571.5
22/12/2014;1004048
23/12/2014;1597190
24/12/2014;776944.25
29/12/2014;630228.4
30/12/2014;1023150.05
02/01/2015;820722.3
05/01/2015;730194.1
06/01/2015;2255442.65
07/01/2015;2141675.4
08/01/2015;1723003.95
09/01/2015;1923040.15
12/01/2015;2013570.85
13/01/2015;2102607.45
14/01/2015;2005672.85
15/01/2015;2139301
16/01/2015;1766918.2
19/01/2015;1794413.7
20/01/2015;1544524.35
21/01/2015;1664930.3
22/01/2015;1405674.75
23/01/2015;1051594.25
26/01/2015;1636085.15
27/01/2015;1542988.95
28/01/2015;1555179.85
29/01/2015;1036350.35
30/01/2015;254773.7
02/02/2015;762757.35
03/02/2015;530427
04/02/2015;2108029.7
05/02/2015;1921336.5
06/02/2015;1658575.75
09/02/2015;1889630.55
10/02/2015;1940739.65
11/02/2015;1965517.45
12/02/2015;2294861.75
13/02/2015;1185891.9
18/02/2015;1328747.1
19/02/2015;1251921.15
20/02/2015;1079059.45
23/02/2015;828114.35
24/02/2015;983182.85
25/02/2015;2056405.85
26/02/2015;1507834.35
27/02/2015;1144078.25
02/03/2015;1138221
03/03/2015;1145899.55
04/03/2015;2296396.05
05/03/2015;2339210.5
06/03/2015;1009610.75
09/03/2015;1106975.25
10/03/2015;1303839.1
11/03/2015;1059487
12/03/2015;2335016.25
13/03/2015;1324200.75
16/03/2015;1457577
17/03/2015;1466822.5
18/03/2015;1639730.95
19/03/2015;1716432.6
20/03/2015;1347008.6
25/03/2015;1557962.5
26/03/2015;682377
27/03/2015;1049586
30/03/2015;3062339.05
31/03/2015;3062339.05
01/04/2015;1122985.3
06/04/2015;1486701.4
07/04/2015;1258517.75
08/04/2015;593699.75
09/04/2015;2348432.95
