,in_demand,out_demand
238,1024065052.0,1027548766.0
239,654228552.0,653176378.0
240,550392629.0,550018154.0
241,668014420.0,671061675.0
242,0.0,0.0
243,0.0,0.0
244,1109391653.0,1108231033.0
245,1130022031.0,1130635191.0
246,967905895.0,966186150.0
247,901888292.0,901600677.0
248,965352437.0,965289567.0
249,0.0,0.0
250,0.0,0.0
251,1207020249.0,1207065134.0
252,1467926325.0,1468359825.0
253,761902408.0,762074960.0
254,793920604.0,796161369.0
255,888355725.0,889938175.0
256,0.0,0.0
257,0.0,0.0
258,1179274950.0,1178310600.0
259,979433801.0,979054061.0
260,978327406.0,979311806.0
261,1025443008.0,1025817023.0
262,716628360.0,716183790.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,1000536223.0,1000907933.0
268,1041360401.0,1040085401.0
269,661756886.0,662709896.0
270,0.0,0.0
271,0.0,0.0
272,1377710590.0,1376371295.0
273,0.0,0.0
274,1462914675.0,1464006710.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,1598977399.0,1598651669.0
280,1181757288.0,1180935868.0
281,907313880.0,908700779.0
282,987414606.0,988109622.0
283,1083852194.0,1082236354.0
284,0.0,0.0
285,0.0,0.0
286,1260291970.0,1262835397.0
287,887893704.0,889835976.0
288,806374194.0,805811514.0
289,952990385.0,951631205.0
290,797267625.0,798576565.0
291,0.0,0.0
292,0.0,0.0
293,1173687211.0,1173208821.0
294,858449381.0,858362476.0
295,758511600.0,758712145.0
296,803542997.0,804681017.0
297,662088181.0,662679816.0
298,0.0,0.0
299,0.0,0.0
300,1409307484.0,1409303769.0
301,802172642.0,801697492.0
302,826052737.0,825156562.0
303,1035636978.0,1035391443.0
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,1365772459.0,1366458362.0
308,1075685732.0,1073842219.0
309,1072547514.0,1074730204.0
310,964621821.0,963764446.0
311,874903254.0,875343949.0
312,0.0,0.0
313,0.0,0.0
314,1202697226.0,1202782844.0
315,491758876.0,492712352.0
316,983170440.0,982815982.0
317,897925731.0,896645304.0
318,833611483.0,835077148.0
319,0.0,0.0
320,0.0,0.0
321,1159217855.0,1160878687.0
322,777588191.0,779423065.0
323,760769135.0,759951735.0
324,688627570.0,687856880.0
325,763282090.0,764931213.0
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,1201524597.0,1202181047.0
330,514417176.0,512983276.0
331,989106426.0,990378216.0
332,1153505283.0,1155059420.0
333,0.0,0.0
334,0.0,0.0
335,1112605946.0,1113829286.0
336,1251623745.0,1250975284.0
337,839627586.0,839434332.0
338,872578394.0,871380799.0
339,1051152840.0,1050809495.0
340,0.0,0.0
341,0.0,0.0
342,1207620067.0,1208016967.0
343,210801643.0,210847993.0
344,1315768370.0,1315985145.0
345,854201617.0,853966852.0
346,1080410930.0,1078988410.0
347,0.0,0.0
348,0.0,0.0
349,1181586164.0,1183509136.0
350,1157689022.0,1157646297.0
351,847771382.0,849888703.0
352,800488182.0,806485012.0
353,866605292.0,867671132.0
354,0.0,0.0
355,0.0,0.0
356,930524855.0,930872725.0
357,1141057114.0,1140145909.0
358,666822437.0,667081967.0
359,903286728.0,901717603.0
360,732171799.0,732212914.0
361,0.0,0.0
362,0.0,0.0
363,1087199470.0,1088404125.0
364,822854096.0,821826806.0
365,787359627.0,786368847.0
366,687857135.0,688340895.0
367,696447955.0,696965885.0
368,0.0,0.0
369,0.0,0.0
370,1420434884.0,1420782294.0
371,1174831350.0,1173916280.0
372,1044435315.0,1045411990.0
373,0.0,0.0
374,1061807085.0,1062105998.0
375,0.0,0.0
376,0.0,0.0
377,1239819878.0,1239772595.0
378,1208194021.0,1208846731.0
379,873669772.0,873731018.0
380,745554771.0,747331496.0
381,1018123556.0,1018550131.0
382,0.0,0.0
383,0.0,0.0
384,1183421308.0,1181834568.0
385,1002177179.0,1002431879.0
386,868839412.0,870260112.0
387,859043058.0,858752068.0
388,775060703.0,775974088.0
389,0.0,0.0
390,0.0,0.0
391,937146558.0,936478308.0
392,452272718.0,451680613.0
393,512892444.0,512701049.0
394,476762686.0,475464611.0
395,371447272.0,372769497.0
396,0.0,0.0
397,0.0,0.0
398,617199309.0,616558734.0
399,1052452341.0,1053251251.0
400,882101295.0,883032945.0
401,547962223.0,545981673.0
402,778882458.0,779744106.0
403,0.0,0.0
404,0.0,0.0
405,502649985.0,501588497.0
406,802999839.0,804044759.0
407,662360296.0,660489561.0
408,653162290.0,653998080.0
409,757423090.0,758770825.0
410,0.0,0.0
411,0.0,0.0
412,0.0,0.0
413,751725905.0,749975300.0
414,606062896.0,606437966.0
415,739359819.0,740127944.0
416,702937887.0,703050862.0
417,0.0,0.0
418,0.0,0.0
419,568007164.0,567919274.0
420,535343902.0,535844352.0
421,350637972.0,349681222.0
422,472537785.0,471293785.0
423,534978694.0,536914994.0
424,0.0,0.0
425,0.0,0.0
426,703338813.0,703168413.0
427,679203829.0,679217229.0
428,635256505.0,636453364.0
429,639117666.0,638881766.0
430,586750989.0,586932919.0
431,0.0,0.0
432,0.0,0.0
433,615641771.0,615730766.0
434,513295374.0,513965549.0
435,531870239.0,531776489.0
436,512085635.0,511430545.0
437,715952744.0,716184724.0
438,0.0,0.0
439,0.0,0.0
440,542348562.0,540384222.0
441,585476098.0,586806589.0
442,439561763.0,439981213.0
443,504530042.0,504777142.0
444,573304047.0,572739087.0
445,0.0,0.0
446,0.0,0.0
447,756633841.0,756090241.0
