fecha;dia_semana;dia;mes;anio;entradas;salidas
Jul 1 2014 12:00AM;3;1;7;2014;391015731.0;392970491.0
Jul 2 2014 12:00AM;4;2;7;2014;415442779.0;415002399.0
Jul 3 2014 12:00AM;5;3;7;2014;487380039.0;493298004.0
Jul 4 2014 12:00AM;6;4;7;2014;565598484.0;569193669.0
Jul 7 2014 12:00AM;2;7;7;2014;1008160860.0;998135540.0
Jul 10 2014 12:00AM;5;10;7;2014;708643663.0;710856473.0
Jul 11 2014 12:00AM;6;11;7;2014;740699606.0;747101116.0
Jul 14 2014 12:00AM;2;14;7;2014;513602706.0;504763361.0
Jul 15 2014 12:00AM;3;15;7;2014;681484955.0;682876140.0
Jul 16 2014 12:00AM;4;16;7;2014;483191791.0;481613056.0
Jul 17 2014 12:00AM;5;17;7;2014;365188704.0;366727344.0
Jul 18 2014 12:00AM;6;18;7;2014;622231187.0;620374802.0
Jul 21 2014 12:00AM;2;21;7;2014;613156146.0;606203486.0
Jul 22 2014 12:00AM;3;22;7;2014;508381504.0;510075544.0
Jul 23 2014 12:00AM;4;23;7;2014;384558425.0;384323530.0
Jul 24 2014 12:00AM;5;24;7;2014;274359152.0;280720577.0
Jul 25 2014 12:00AM;6;25;7;2014;441170515.0;443294970.0
Jul 28 2014 12:00AM;2;28;7;2014;426771882.0;428025027.0
Jul 29 2014 12:00AM;3;29;7;2014;413581537.0;410903527.0
Jul 30 2014 12:00AM;4;30;7;2014;433566037.0;433453757.0
Jul 31 2014 12:00AM;5;31;7;2014;367684760.0;367488880.0
Aug 1 2014 12:00AM;6;1;8;2014;392257170.0;391886015.0
Aug 4 2014 12:00AM;2;4;8;2014;596094366.0;595172731.0
Aug 5 2014 12:00AM;3;5;8;2014;588532054.0;591190044.0
Aug 6 2014 12:00AM;4;6;8;2014;638856046.0;639202511.0
Aug 7 2014 12:00AM;5;7;8;2014;15000000.0;15000000.0
Aug 8 2014 12:00AM;6;8;8;2014;699399176.0;700153991.0
Aug 11 2014 12:00AM;2;11;8;2014;584830952.0;582015397.0
Aug 12 2014 12:00AM;3;12;8;2014;531465717.0;532284222.0
Aug 13 2014 12:00AM;4;13;8;2014;386114601.0;386432781.0
Aug 14 2014 12:00AM;5;14;8;2014;410063379.0;408372169.0
Aug 15 2014 12:00AM;6;15;8;2014;462024526.0;471184501.0
Aug 19 2014 12:00AM;3;19;8;2014;529085920.0;527819570.0
Aug 20 2014 12:00AM;4;20;8;2014;378344511.0;379019896.0
Aug 21 2014 12:00AM;5;21;8;2014;259069584.0;257607864.0
Aug 22 2014 12:00AM;6;22;8;2014;458356830.0;466511275.0
Aug 25 2014 12:00AM;2;25;8;2014;542466863.0;537182618.0
Aug 26 2014 12:00AM;3;26;8;2014;384275256.0;382244031.0
Aug 27 2014 12:00AM;4;27;8;2014;545932184.0;545437274.0
