,dow,dom,month,prev_holy,pos_holy,minfl
198,5,15,1,0,0,2.336
199,6,16,1,0,0,2.336
200,7,17,1,0,0,2.336
201,1,18,1,0,0,2.336
202,2,19,1,0,0,2.336
203,3,20,1,0,0,2.336
204,4,21,1,0,0,2.336
205,5,22,1,0,0,2.336
206,6,23,1,0,0,2.336
207,7,24,1,0,0,2.336
208,1,25,1,0,0,2.336
209,2,26,1,0,0,2.336
210,3,27,1,0,0,2.336
211,4,28,1,0,0,2.336
212,5,29,1,0,0,2.336
213,6,30,1,0,0,2.336
214,7,31,1,0,0,2.336
215,1,1,2,0,0,1.041
216,2,2,2,0,0,1.041
217,3,3,2,0,0,1.041
218,4,4,2,0,0,1.041
219,5,5,2,0,0,1.041
220,6,6,2,0,0,1.041
221,7,7,2,0,0,1.041
222,1,8,2,0,0,1.041
223,2,9,2,0,0,1.041
224,3,10,2,0,0,1.041
225,4,11,2,0,0,1.041
226,5,12,2,0,0,1.041
227,6,13,2,0,2,1.041
228,7,14,2,0,0,1.041
229,1,15,2,0,0,1.041
230,2,16,2,0,0,1.041
231,3,17,2,0,0,1.041
232,4,18,2,2,0,1.041
233,5,19,2,0,0,1.041
234,6,20,2,0,0,1.041
235,7,21,2,0,0,1.041
236,1,22,2,0,0,1.041
237,2,23,2,0,0,1.041
238,3,24,2,0,0,1.041
239,4,25,2,0,0,1.041
240,5,26,2,0,0,1.041
241,6,27,2,0,0,1.041
242,7,28,2,0,0,1.041
243,1,1,3,0,0,2.23
244,2,2,3,0,0,2.23
245,3,3,3,0,0,2.23
246,4,4,3,0,0,2.23
247,5,5,3,0,0,2.23
248,6,6,3,0,0,2.23
249,7,7,3,0,0,2.23
250,1,8,3,0,0,2.23
251,2,9,3,0,0,2.23
252,3,10,3,0,0,2.23
253,4,11,3,0,0,2.23
254,5,12,3,0,0,2.23
255,6,13,3,0,0,2.23
256,7,14,3,0,0,2.23
257,1,15,3,0,0,2.23
258,2,16,3,0,0,2.23
259,3,17,3,0,0,2.23
260,4,18,3,0,0,2.23
261,5,19,3,0,0,2.23
262,6,20,3,0,2,2.23
263,7,21,3,0,0,2.23
264,1,22,3,0,0,2.23
265,2,23,3,0,0,2.23
266,3,24,3,0,0,2.23
267,4,25,3,2,0,2.23
268,5,26,3,0,0,2.23
269,6,27,3,0,0,2.23
270,7,28,3,0,0,2.23
271,1,29,3,0,0,2.23
272,2,30,3,0,1,2.23
273,3,31,3,0,0,2.23
274,4,1,4,1,2,1.99
275,5,2,4,0,0,1.99
276,6,3,4,0,0,1.99
277,7,4,4,0,0,1.99
278,1,5,4,0,0,1.99
279,2,6,4,2,0,1.99
280,3,7,4,0,0,1.99
281,4,8,4,0,0,1.99
282,5,9,4,0,0,1.99
283,6,10,4,0,0,1.99
284,7,11,4,0,0,1.99
285,1,12,4,0,0,1.99
286,2,13,4,0,0,1.99
287,3,14,4,0,0,1.99
288,4,15,4,0,0,1.99
289,5,16,4,0,0,1.99
290,6,17,4,0,0,1.99
291,7,18,4,0,0,1.99
292,1,19,4,0,0,1.99
293,2,20,4,0,0,1.99
294,3,21,4,0,0,1.99
295,4,22,4,0,0,1.99
296,5,23,4,0,0,1.99
297,6,24,4,0,0,1.99
298,7,25,4,0,0,1.99
299,1,26,4,0,0,1.99
300,2,27,4,0,0,1.99
301,3,28,4,0,0,1.99
302,4,29,4,0,0,1.99
303,5,30,4,0,1,1.99
304,6,1,5,0,0,1.714
305,7,2,5,0,0,1.714
306,1,3,5,0,0,1.714
307,2,4,5,1,0,1.714
308,3,5,5,0,0,1.714
309,4,6,5,0,0,1.714
310,5,7,5,0,0,1.714
311,6,8,5,0,0,1.714
312,7,9,5,0,0,1.714
313,1,10,5,0,0,1.714
314,2,11,5,0,0,1.714
315,3,12,5,0,0,1.714
316,4,13,5,0,0,1.714
317,5,14,5,0,0,1.714
318,6,15,5,0,0,1.714
319,7,16,5,0,0,1.714
320,1,17,5,0,0,1.714
321,2,18,5,0,0,1.714
322,3,19,5,0,0,1.714
323,4,20,5,0,0,1.714
324,5,21,5,0,0,1.714
325,6,22,5,0,1,1.714
326,7,23,5,0,0,1.714
327,1,24,5,0,0,1.714
328,2,25,5,0,0,1.714
329,3,26,5,1,0,1.714
330,4,27,5,0,0,1.714
331,5,28,5,0,0,1.714
332,6,29,5,0,0,1.714
333,7,30,5,0,0,1.714
334,1,31,5,0,0,1.714
335,2,1,6,0,0,2.248
336,3,2,6,0,0,2.248
337,4,3,6,0,0,2.248
338,5,4,6,0,0,2.248
339,6,5,6,0,0,2.248
340,7,6,6,0,0,2.248
341,1,7,6,0,0,2.248
342,2,8,6,0,0,2.248
343,3,9,6,0,0,2.248
