"fecha";"dia_semana";"dia";"mes";"anio";"entradas";"salidas"
Nov 3 2014 12:00AM;2;3;11;2014;1341751855.0;1340014405.0
Nov 4 2014 12:00AM;3;4;11;2014;1111905043.0;1112642958.0
Nov 5 2014 12:00AM;4;5;11;2014;1018097697.0;1018287247.0
Nov 7 2014 12:00AM;6;7;11;2014;1504926866.0;1504957236.0
Nov 10 2014 12:00AM;2;10;11;2014;1549639771.0;1557045387.0
Nov 11 2014 12:00AM;3;11;11;2014;1481246349.0;1481810089.0
Nov 12 2014 12:00AM;4;12;11;2014;402433250.0;402244425.0
Nov 13 2014 12:00AM;5;13;11;2014;466007680.0;465710880.0
Nov 14 2014 12:00AM;6;14;11;2014;1936735446.0;1940009434.0
Nov 17 2014 12:00AM;2;17;11;2014;1412704507.0;1411332382.0
Nov 18 2014 12:00AM;3;18;11;2014;1145395224.0;1147841580.0
Nov 19 2014 12:00AM;4;19;11;2014;1071078453.0;1070609963.0
Nov 20 2014 12:00AM;5;20;11;2014;1109699977.0;1108815632.0
Nov 21 2014 12:00AM;6;21;11;2014;1015976600.0;1018532470.0
Nov 25 2014 12:00AM;3;25;11;2014;1202036088.0;1202010828.0
Nov 26 2014 12:00AM;4;26;11;2014;1545786003.0;1745841703.0
Nov 27 2014 12:00AM;5;27;11;2014;689956509.0;688962519.0
Nov 28 2014 12:00AM;6;28;11;2014;917758620.0;920289644.0
Dec 1 2014 12:00AM;2;1;12;2014;1399724068.0;1399234879.0
Dec 2 2014 12:00AM;3;2;12;2014;1437119717.0;1437113447.0
Dec 3 2014 12:00AM;4;3;12;2014;1482490755.0;1482736040.0
Dec 4 2014 12:00AM;5;4;12;2014;1266862002.0;1266629557.0
Dec 5 2014 12:00AM;6;5;12;2014;1065717879.0;1067535144.0
Dec 9 2014 12:00AM;3;9;12;2014;1523779504.0;1523384354.0
Dec 10 2014 12:00AM;4;10;12;2014;1315488515.0;1315556775.0
Dec 11 2014 12:00AM;5;11;12;2014;1018790221.0;1019182201.0
Dec 12 2014 12:00AM;6;12;12;2014;1351492608.0;1350756972.0
Dec 15 2014 12:00AM;2;15;12;2014;952430187.0;951404628.0
Dec 16 2014 12:00AM;3;16;12;2014;1020541116.0;1021156406.0
Dec 17 2014 12:00AM;4;17;12;2014;1024528230.0;1028936225.0
Dec 18 2014 12:00AM;5;18;12;2014;986454047.0;992105055.0
Dec 19 2014 12:00AM;6;19;12;2014;1086307601.0;1086437786.0
Dec 22 2014 12:00AM;2;22;12;2014;1387962105.0;1387111130.0
Dec 23 2014 12:00AM;3;23;12;2014;1333058200.0;1037300785.0
Dec 24 2014 12:00AM;4;24;12;2014;573558038.0;867836903.0
Dec 29 2014 12:00AM;2;29;12;2014;2113492752.0;2116085932.0
Dec 30 2014 12:00AM;3;30;12;2014;1232191609.0;1230994729.0
Jan 2 2015 12:00AM;6;2;1;2015;925330597.0;926118462.0
Jan 5 2015 12:00AM;2;5;1;2015;1244358836.0;1245177716.0
Jan 6 2015 12:00AM;3;6;1;2015;802285302.0;802172017.0
Jan 7 2015 12:00AM;4;7;1;2015;751412420.0;752529705.0
Jan 8 2015 12:00AM;5;8;1;2015;995772899.0;994407699.0
Jan 9 2015 12:00AM;6;9;1;2015;842424859.0;841643384.0
Jan 12 2015 12:00AM;2;12;1;2015;1417570159.0;1417104004.0
Jan 13 2015 12:00AM;3;13;1;2015;1077148558.0;1078355260.0
Jan 14 2015 12:00AM;4;14;1;2015;836548088.0;834785733.0
Jan 15 2015 12:00AM;5;15;1;2015;1390011722.0;1095844011.0
Jan 16 2015 12:00AM;6;16;1;2015;978028094.0;1275122229.0
Jan 19 2015 12:00AM;2;19;1;2015;1096545821.0;1097951961.0
Jan 20 2015 12:00AM;3;20;1;2015;982021922.0;982369923.0
Jan 21 2015 12:00AM;4;21;1;2015;923939725.0;926746238.0
Jan 22 2015 12:00AM;5;22;1;2015;828978729.0;829735129.0
Jan 23 2015 12:00AM;6;23;1;2015;560394254.0;560555729.0
Jan 26 2015 12:00AM;2;26;1;2015;780707183.0;777692083.0
Jan 27 2015 12:00AM;3;27;1;2015;816021947.0;818037132.0
Jan 28 2015 12:00AM;4;28;1;2015;619827745.0;619656045.0
Jan 29 2015 12:00AM;5;29;1;2015;632643603.0;632074601.0
Jan 30 2015 12:00AM;6;30;1;2015;861114348.0;862860466.0
Feb 2 2015 12:00AM;2;2;2;2015;990323197.0;989986382.0
Feb 3 2015 12:00AM;3;3;2;2015;1051028523.0;1051791873.0
Feb 4 2015 12:00AM;4;4;2;2015;825646498.0;824909153.0
Feb 5 2015 12:00AM;5;5;2;2015;857084463.0;857549248.0
Feb 6 2015 12:00AM;6;6;2;2015;823501102.0;824011502.0
Feb 9 2015 12:00AM;2;9;2;2015;1278496539.0;1278794624.0
Feb 10 2015 12:00AM;3;10;2;2015;854993986.0;852814206.0
Feb 11 2015 12:00AM;4;11;2;2015;936543629.0;936813284.0
Feb 12 2015 12:00AM;5;12;2;2015;687246542.0;688205952.0
Feb 13 2015 12:00AM;6;13;2;2015;920245686.0;919900796.0
Feb 18 2015 12:00AM;4;18;2;2015;943026504.0;942816974.0
Feb 19 2015 12:00AM;5;19;2;2015;1254763809.0;1255264054.0
Feb 20 2015 12:00AM;6;20;2;2015;1200550085.0;1200097565.0
Feb 23 2015 12:00AM;2;23;2;2015;758476879.0;758059038.0
Feb 24 2015 12:00AM;3;24;2;2015;1024065052.0;1027548766.0
Feb 25 2015 12:00AM;4;25;2;2015;654228552.0;653176378.0
Feb 26 2015 12:00AM;5;26;2;2015;550392629.0;550018154.0
Feb 27 2015 12:00AM;6;27;2;2015;668014420.0;671061675.0
Mar 2 2015 12:00AM;2;2;3;2015;1109391653.0;1108231033.0
Mar 3 2015 12:00AM;3;3;3;2015;1130022031.0;1130635191.0
Mar 4 2015 12:00AM;4;4;3;2015;967905895.0;966186150.0
Mar 5 2015 12:00AM;5;5;3;2015;901888292.0;901600677.0
Mar 6 2015 12:00AM;6;6;3;2015;965352437.0;965289567.0
Mar 9 2015 12:00AM;2;9;3;2015;1207020249.0;1207065134.0
Mar 10 2015 12:00AM;3;10;3;2015;1467926325.0;1468359825.0
Mar 11 2015 12:00AM;4;11;3;2015;761902408.0;762074960.0
Mar 12 2015 12:00AM;5;12;3;2015;793920604.0;796161369.0
Mar 13 2015 12:00AM;6;13;3;2015;888355725.0;889938175.0
Mar 16 2015 12:00AM;2;16;3;2015;1179274950.0;1178310600.0
Mar 17 2015 12:00AM;3;17;3;2015;979433801.0;979054061.0
Mar 18 2015 12:00AM;4;18;3;2015;978327406.0;979311806.0
Mar 19 2015 12:00AM;5;19;3;2015;1025443008.0;1025817023.0
Mar 20 2015 12:00AM;6;20;3;2015;716628360.0;716183790.0
Mar 25 2015 12:00AM;4;25;3;2015;1000536223.0;1000907933.0
Mar 26 2015 12:00AM;5;26;3;2015;1041360401.0;1040085401.0
Mar 27 2015 12:00AM;6;27;3;2015;661756886.0;662709896.0
Mar 30 2015 12:00AM;2;30;3;2015;1377710590.0;1376371295.0
Apr 1 2015 12:00AM;4;1;4;2015;1462914675.0;1464006710.0
