FECHA;DEMANDA_CAJA;DEMANDA_ATM
2015-03-01; 0;9594960
2015-03-02; -8515598;3289210
2015-03-03; 286458;2511010
2015-03-04; -1867297;2865960
2015-03-05; 841196;2678570
2015-03-06; -2098586;4851290
2015-03-07; 0;4851290
2015-03-08; 0;4851290
2015-03-09; -6790235;2338590
2015-03-10; -4440856;2037280
2015-03-11; -359945;1676770
2015-03-12; -2980717;1704740
2015-03-13; -1784661;2849200
2015-03-14; 0;2849200
2015-03-15; 0;2849200
2015-03-16; -7923216;1383840
2015-03-17; -839286;1340730
2015-03-18; -471691;0
2015-03-19; 0;2241670
2015-03-20; -5317726;4805120
2015-03-21; 0;4805120
2015-03-22; 0;4805120
2015-03-23; 0;4805120
2015-03-24; 0;4805120
2015-03-25; -14358043;1194980
2015-03-26; -3279170;1087750
2015-03-27; -1706984;2225080
2015-03-28; 0;2225080
2015-03-29; 0;2225080
2015-03-30; -5747211;11370000
2015-03-31; 0;11370000
2015-04-01; 8817204;9474520
2015-04-02; 0;9474520
2015-04-03; 0;9474520
2015-04-04; 0;9474520
2015-04-05; 0;9474520
2015-04-06; -13770584;3006640
2015-04-07; -2412562;3528290
2015-04-08; -509603;3197100
2015-04-09; -1146250;3123070
2015-04-10; -2139453;4905880
2015-04-11; 0;4905880
2015-04-12; 0;4905880
2015-04-13; -21027150;1469570
2015-04-14; -4138958;1965550
2015-04-15; -260524;1846660
2015-04-16; -518061;1670150
2015-04-17; -6637656;2336610
2015-04-18; 0;2336610
2015-04-19; 0;2336610
2015-04-20; -7801466;1716630
2015-04-21; -1848257;1544720
2015-04-22; 1692511;1198380
2015-04-23; -1838517;1334510
2015-04-24; -1594157;2025640
2015-04-25; 0;2025640
2015-04-26; 0;2025640
2015-04-27; -4688521;1063690
2015-04-28; -1342227;2118610
2015-04-29; 6287967;4838000
2015-04-30; 2118426;12930000
2015-05-01; 0;10770490
2015-05-02; 0;10770490
2015-05-03; 0;10770490
2015-05-04; -2858852;3125490
2015-05-05; -1172204;3183950
2015-05-06; 536016;2982230
2015-05-07; 483210;3102680
2015-05-08; -2557269;5055020
2015-05-09; 0;5055020
2015-05-10; 0;5055020
2015-05-11; -10032666;2185540
2015-05-12; -4819043;2049130
2015-05-13; -1327493;1908100
2015-05-14; -1306062;1731250
2015-05-15; -2273502;3072780
2015-05-16; 0;3072780
2015-05-17; 0;3072780
2015-05-18; -9409797;1477330
2015-05-19; -2164426;1715260
2015-05-20; -783004;1985730
2015-05-21; 1507758;1829860
2015-05-22; -2213248;3394980
2015-05-23; 0;3394980
2015-05-24; 0;3394980
2015-05-25; 0;3394980
2015-05-26; -10455210;0
2015-05-27; 0;2267040
2015-05-28; -697104;2349750
2015-05-29; -1559022;11858540
2015-05-30; 0;14240000
2015-05-31; 0;14240000
2015-06-01; -7682995;3706250
2015-06-02; 3018853;3535790
2015-06-03; 1722255;3086130
2015-06-04; 2133508;3385440
2015-06-05; -3973456;6739130
2015-06-06; 0;6739130
2015-06-07; 0;6739130
2015-06-08; -10809728;2364640
2015-06-09; 1716133;1101000
2015-06-10; -3109298;3849180
2015-06-11; -2659742;2097170
2015-06-12; -6284803;3329480
2015-06-13; 0;3329480
2015-06-14; 0;3329480
2015-06-15; -9389375;1825520
2015-06-16; -1393548;4831080
2015-06-17; -426028;4155370
2015-06-18; 3335363;4188180
2015-06-19; -3125382;7556440
2015-06-20; 0;7556440
2015-06-21; 0;7556440
2015-06-22; -10425382;2173060
