,DATE,CASHD,ATMD,HOLIDAY
0,2015-03-01,0,0,1
1,2015-03-02,-3353165,2760790,0
2,2015-03-03,-840656,3263600,0
3,2015-03-04,-2142786,2444300,0
4,2015-03-05,-1223236,2782860,0
5,2015-03-06,-1874320,6024450,0
6,2015-03-07,0,0,1
7,2015-03-08,0,0,1
8,2015-03-09,-5407557,2138510,0
9,2015-03-10,-3477578,1912720,0
10,2015-03-11,-3597880,1829810,0
11,2015-03-12,-2412493,1771270,0
12,2015-03-13,-1951646,3884180,0
13,2015-03-14,0,0,1
14,2015-03-15,0,0,1
15,2015-03-16,-4225806,1451270,0
16,2015-03-17,-3110233,1656440,0
17,2015-03-18,-2355825,1770010,0
18,2015-03-19,-512453,1963290,0
19,2015-03-20,529049,6430800,0
20,2015-03-21,0,0,1
21,2015-03-22,0,0,1
22,2015-03-23,0,0,1
23,2015-03-24,0,0,1
24,2015-03-25,-3860137,1418650,0
25,2015-03-26,-847537,1226270,0
26,2015-03-27,-1940269,2901810,0
27,2015-03-28,0,0,1
28,2015-03-29,0,0,1
29,2015-03-30,-1942280,9860000,0
30,2015-03-31,0,0,1
31,2015-04-01,-836883,10629720,0
32,2015-04-02,0,0,1
33,2015-04-03,0,0,1
34,2015-04-04,0,0,1
35,2015-04-05,0,0,1
36,2015-04-06,-4249462,2890800,0
37,2015-04-07,-2923018,2883270,0
38,2015-04-08,-3721107,2463670,0
39,2015-04-09,-2181530,2920360,0
40,2015-04-10,-3090650,5460130,0
41,2015-04-11,0,0,1
42,2015-04-12,0,0,1
43,2015-04-13,-6854075,1641380,0
44,2015-04-14,-2152294,1915100,0
45,2015-04-15,-2132497,2023210,0
46,2015-04-16,-1715757,1627550,0
47,2015-04-17,-710668,3487650,0
48,2015-04-18,0,0,1
49,2015-04-19,0,0,1
50,2015-04-20,-4142464,1490190,0
51,2015-04-21,-1567162,1850230,0
52,2015-04-22,-1827220,1786150,0
53,2015-04-23,-1186840,1387140,0
54,2015-04-24,148242,2803550,0
55,2015-04-25,0,0,1
