FECHA;DEMANDA_CAJA;DEMANDA_ATM
2015-03-01; 0;7776500
2015-03-02; -5387584;2520100
2015-03-03; -4009505;1936150
2015-03-04; -4141070;2139750
2015-03-05; -2682789;2748550
2015-03-06; -3714711;6275350
2015-03-07; 0;6275350
2015-03-08; 0;6275350
2015-03-09; -7436476;1863850
2015-03-10; -5779283;1127800
2015-03-11; -5272192;2099750
2015-03-12; -4583103;1667750
2015-03-13; -4533326;3241350
2015-03-14; 0;3241350
2015-03-15; 0;3241350
2015-03-16; -6600635;1355150
2015-03-17; -5837218;817200
2015-03-18; -3302886;1561650
2015-03-19; -4129184;1652450
2015-03-20; -3732357;4189250
2015-03-21; 0;4189250
2015-03-22; 0;4189250
2015-03-23; 0;4189250
2015-03-24; 0;4189250
2015-03-25; -9158915;826750
2015-03-26; -3805931;1450850
2015-03-27; -3249004;1932300
2015-03-28; 0;1932300
2015-03-29; 0;1932300
2015-03-30; -4293023;7760000
2015-03-31; 0;7760000
2015-04-01; -5343189;9555500
2015-04-02; 0;9555500
2015-04-03; 0;9555500
2015-04-04; 0;9555500
2015-04-05; 0;9555500
2015-04-06; -8178397;1732600
2015-04-07; -5969605;2803000
2015-04-08; -3004096;2805000
2015-04-09; -4937658;3507550
2015-04-10; -5333897;4027250
2015-04-11; 0;4027250
2015-04-12; 0;4027250
2015-04-13; -6989553;884200
2015-04-14; -4819612;2250650
2015-04-15; -3872642;1682450
2015-04-16; -5233068;1727700
2015-04-17; -3656993;2682150
2015-04-18; 0;2682150
2015-04-19; 0;2682150
2015-04-20; -5628665;941850
2015-04-21; -2455963;2171300
2015-04-22; -4728223;1213350
2015-04-23; -2587734;975650
2015-04-24; -2877869;1832600
2015-04-25; 0;1832600
2015-04-26; 0;1832600
2015-04-27; -5773578;405750
2015-04-28; -3100667;1671350
2015-04-29; -3204696;3439400
2015-04-30; -670466;9900000
2015-05-01; 0;8244250
2015-05-02; 0;8244250
2015-05-03; 0;8244250
2015-05-04; -5986380;1524800
2015-05-05; -4631814;3732750
2015-05-06; -5285315;2787750
2015-05-07; -2863457;3530500
2015-05-08; -3617819;4340500
2015-05-09; 0;4340500
2015-05-10; 0;4340500
2015-05-11; -9264251;1637350
2015-05-12; -4632912;1678100
2015-05-13; -5612999;1684650
2015-05-14; -5222995;1497500
2015-05-15; -3169722;3025900
2015-05-16; 0;3025900
2015-05-17; 0;3025900
2015-05-18; -7558507;1050250
2015-05-19; -3289487;2179550
