fecha;dia_semana;dia;mes;anio;entradas;salidas
Jul 1 2014 12:00AM;3;1;7;2014;2937751138.0;3063036192.0
Jul 2 2014 12:00AM;4;2;7;2014;3099432072.0;3768111338.0
Jul 3 2014 12:00AM;5;3;7;2014;3752703712.0;3652234497.0
Jul 4 2014 12:00AM;6;4;7;2014;3611856947.0;4101594072.0
Jul 7 2014 12:00AM;2;7;7;2014;4836911760.0;4670620493.0
Jul 8 2014 12:00AM;3;8;7;2014;3314163140.0;3063540499.0
Jul 10 2014 12:00AM;5;10;7;2014;4514261979.0;3965770358.0
Jul 11 2014 12:00AM;6;11;7;2014;5090416692.0;5317826678.0
Jul 14 2014 12:00AM;2;14;7;2014;5069177203.0;4288512520.0
Jul 15 2014 12:00AM;3;15;7;2014;3716899519.0;4406810921.0
Jul 16 2014 12:00AM;4;16;7;2014;3290364324.0;3764103598.0
Jul 17 2014 12:00AM;5;17;7;2014;3394874617.0;3455963583.0
Jul 18 2014 12:00AM;6;18;7;2014;3199557268.0;3275747718.0
Jul 21 2014 12:00AM;2;21;7;2014;4214620536.0;3572264480.0
Jul 22 2014 12:00AM;3;22;7;2014;2475630427.0;2455053630.0
Jul 23 2014 12:00AM;4;23;7;2014;3192494920.0;3361787047.0
Jul 24 2014 12:00AM;5;24;7;2014;2298117634.0;2482585447.0
Jul 25 2014 12:00AM;6;25;7;2014;2780312772.0;3022404362.0
Jul 28 2014 12:00AM;2;28;7;2014;3444683783.0;2946441091.0
Jul 29 2014 12:00AM;3;29;7;2014;2445664578.0;2485326259.0
Jul 30 2014 12:00AM;4;30;7;2014;3035609145.0;2694676639.0
Jul 31 2014 12:00AM;5;31;7;2014;2365648845.0;2733091399.0
Aug 1 2014 12:00AM;6;1;8;2014;4423604046.0;4536167816.0
Aug 4 2014 12:00AM;2;4;8;2014;5085296871.0;4991368224.0
Aug 5 2014 12:00AM;3;5;8;2014;3154106891.0;3165124946.0
Aug 6 2014 12:00AM;4;6;8;2014;3893700212.0;3952819767.0
Aug 7 2014 12:00AM;5;7;8;2014;2824914657.0;2767717109.0
Aug 8 2014 12:00AM;6;8;8;2014;4504566510.0;4992976633.0
Aug 11 2014 12:00AM;2;11;8;2014;4980717916.0;4481376170.0
Aug 12 2014 12:00AM;3;12;8;2014;4351027768.0;4433911616.0
Aug 13 2014 12:00AM;4;13;8;2014;3342517075.0;3331236169.0
Aug 14 2014 12:00AM;5;14;8;2014;3668190308.0;3674966920.0
Aug 15 2014 12:00AM;6;15;8;2014;4313645758.0;4528908232.0
Aug 19 2014 12:00AM;3;19;8;2014;3777142459.0;3317205500.0
Aug 20 2014 12:00AM;4;20;8;2014;2916340781.0;2925175143.0
Aug 21 2014 12:00AM;5;21;8;2014;2861218851.0;2892025296.0
