,DATE,CASHD,ATMD,HOLIDAY
146,2015-07-25,0,2459100,1
147,2015-07-26,0,2459100,1
148,2015-07-27,-6363341,1151000,0
149,2015-07-28,-2891609,617900,0
150,2015-07-29,-3990582,1384300,0
151,2015-07-30,-1858672,3434850,0
152,2015-07-31,-1543991,8295950,0
153,2015-08-01,0,8295950,1
154,2015-08-02,0,8295950,1
155,2015-08-03,-2294645,2659550,0
156,2015-08-04,-1547197,1602750,0
157,2015-08-05,-1552891,3553400,0
158,2015-08-06,-783539,3623050,0
159,2015-08-07,539212,5493150,0
160,2015-08-08,0,5493150,1
161,2015-08-09,0,5493150,1
162,2015-08-10,430618,1951250,0
163,2015-08-11,-1345593,1112550,0
164,2015-08-12,-984656,2311300,0
165,2015-08-13,-1070958,1833250,0
166,2015-08-14,-562062,3473550,0
167,2015-08-15,0,3473550,1
168,2015-08-16,0,3473550,1
169,2015-08-17,0,3473550,1
170,2015-08-18,-451050,890250,0
171,2015-08-19,-1373352,2039750,0
172,2015-08-20,-925155,1266800,0
173,2015-08-21,-2201012,3062950,0
174,2015-08-22,0,3062950,1
175,2015-08-23,0,3062950,1
176,2015-08-24,-4376095,1037450,0
177,2015-08-25,-11935256,611050,0
178,2015-08-26,-533338,1388950,0
179,2015-08-27,-682903,1142050,0
180,2015-08-28,-3820919,7772050,0
181,2015-08-29,0,7772050,1
182,2015-08-30,0,7772050,1
183,2015-08-31,1898213,3098650,0
184,2015-09-01,-3247782,1893850,0
185,2015-09-02,-3072194,3623100,0
186,2015-09-03,-3348606,3036350,0
187,2015-09-04,-2919046,6038650,0
188,2015-09-05,0,6038650,1
189,2015-09-06,0,6038650,1
190,2015-09-07,-7127721,2534750,0
191,2015-09-08,-4855370,1597100,0
192,2015-09-09,-6166686,3274650,0
193,2015-09-10,-6319498,2253350,0
194,2015-09-11,-4833081,3850800,0
195,2015-09-12,0,3850800,1
196,2015-09-13,0,3850800,1
197,2015-09-14,-7952065,1184050,0
198,2015-09-15,-3807580,1656150,0
199,2015-09-16,-6321579,2057350,0
200,2015-09-17,-4520413,1635950,0
201,2015-09-18,-4672463,3751750,0
202,2015-09-19,0,3751750,1
203,2015-09-20,0,3751750,1
204,2015-09-21,-7470906,1288950,0
205,2015-09-22,-3958895,794150,0
206,2015-09-23,-3894586,1814900,0
207,2015-09-24,-3809858,1172250,0
208,2015-09-25,-2916685,2367000,0
209,2015-09-26,0,2367000,1
210,2015-09-27,0,2367000,1
211,2015-09-28,-5424256,0,0
212,2015-09-29,0,4030450,1
213,2015-09-30,-5211572,4026600,0
214,2015-10-01,-3207645,3986900,0
215,2015-10-02,-1589223,6726100,0
216,2015-10-03,0,6726100,1
217,2015-10-04,0,6726100,1
218,2015-10-05,-6310085,2936100,0
219,2015-10-06,-5168534,2443700,0
220,2015-10-07,-4831398,3769950,0
221,2015-10-08,-3868455,2141150,0
222,2015-10-09,-5075314,4941000,0
223,2015-10-10,0,4941000,1
224,2015-10-11,0,4941000,1
