,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy
0,3,1,7,2014,393702893.0,393737668.0,0,0
1,4,2,7,2014,312244180.0,312268955.0,0,0
2,5,3,7,2014,407990056.0,408141206.0,0,0
3,6,4,7,2014,369730110.0,369199010.0,0,0
4,7,5,7,2014,0.0,0.0,0,0
5,1,6,7,2014,0.0,0.0,0,0
6,2,7,7,2014,227468739.0,227700264.0,0,0
7,3,8,7,2014,206085505.0,205969230.0,0,1
8,4,9,7,2014,0.0,0.0,0,0
9,5,10,7,2014,166742769.0,166936194.0,1,0
10,6,11,7,2014,150314749.0,150780014.0,0,0
11,7,12,7,2014,0.0,0.0,0,0
12,1,13,7,2014,0.0,0.0,0,0
13,2,14,7,2014,157421505.0,156792665.0,0,0
14,3,15,7,2014,123328728.0,123709353.0,0,0
15,4,16,7,2014,121255866.0,121019566.0,0,0
16,5,17,7,2014,112463593.0,112451243.0,0,0
17,6,18,7,2014,217036597.0,217179772.0,0,0
18,7,19,7,2014,0.0,0.0,0,0
19,1,20,7,2014,0.0,0.0,0,0
20,2,21,7,2014,152136019.0,152294019.0,0,0
21,3,22,7,2014,252020959.0,251716209.0,0,0
22,4,23,7,2014,158494118.0,158871543.0,0,0
23,5,24,7,2014,188929419.0,188952844.0,0,0
24,6,25,7,2014,167505182.0,167461207.0,0,0
25,7,26,7,2014,0.0,0.0,0,0
26,1,27,7,2014,0.0,0.0,0,0
27,2,28,7,2014,141117284.0,140951159.0,0,0
28,3,29,7,2014,175113981.0,175154531.0,0,0
29,4,30,7,2014,128001333.0,128043433.0,0,0
30,5,31,7,2014,185199524.0,185348549.0,0,0
31,6,1,8,2014,428959715.0,428821865.0,0,0
32,7,2,8,2014,0.0,0.0,0,0
33,1,3,8,2014,0.0,0.0,0,0
34,2,4,8,2014,412347408.0,412681808.0,0,0
35,3,5,8,2014,256954985.0,256582010.0,0,0
36,4,6,8,2014,214669222.0,214599372.0,0,0
37,5,7,8,2014,241704413.0,242045838.0,0,0
38,6,8,8,2014,351151655.0,350885960.0,0,0
39,7,9,8,2014,0.0,0.0,0,0
40,1,10,8,2014,0.0,0.0,0,0
41,2,11,8,2014,309727367.0,309711687.0,0,0
42,3,12,8,2014,256044712.0,255727262.0,0,0
43,4,13,8,2014,191473712.0,191573962.0,0,0
44,5,14,8,2014,156385226.0,156526201.0,0,0
45,6,15,8,2014,247394072.0,247602297.0,0,1
46,7,16,8,2014,0.0,0.0,0,0
47,1,17,8,2014,0.0,0.0,0,0
48,2,18,8,2014,0.0,0.0,0,0
49,3,19,8,2014,208813686.0,208739961.0,1,0
50,4,20,8,2014,201311090.0,201324540.0,0,0
51,5,21,8,2014,181715606.0,181735300.0,0,0
52,6,22,8,2014,131556969.0,134115569.0,0,0
53,7,23,8,2014,0.0,0.0,0,0
54,1,24,8,2014,0.0,0.0,0,0
55,2,25,8,2014,162713974.0,162470429.0,0,0
56,3,26,8,2014,154401949.0,153821024.0,0,0
57,4,27,8,2014,169636056.0,170000366.0,0,1
58,5,28,8,2014,0.0,0.0,0,0
59,6,29,8,2014,329133959.0,329453954.0,1,0
60,7,30,8,2014,0.0,0.0,0,0
61,1,31,8,2014,0.0,0.0,0,0
62,2,1,9,2014,254457805.0,254427000.0,0,0
63,3,2,9,2014,530127492.0,530215222.0,0,0
64,4,3,9,2014,294941629.0,294570444.0,0,0
65,5,4,9,2014,250481537.0,250690122.0,0,0
66,6,5,9,2014,246815846.0,246842186.0,0,0
67,7,6,9,2014,0.0,0.0,0,0
