,dom,month,year,balance
178,26,12,2014,20466986.224500008
179,27,12,2014,20466986.224500008
180,28,12,2014,20466986.224500008
181,29,12,2014,36089999.64
182,30,12,2014,25238625.87
183,31,12,2014,20634155.51188525
184,1,1,2015,20634155.51188525
185,2,1,2015,11364186.7
186,3,1,2015,20558789.911788624
187,4,1,2015,20558789.911788624
188,5,1,2015,31302218.25
189,6,1,2015,27960930.19
190,7,1,2015,24259188.52
191,8,1,2015,25685523.39
192,9,1,2015,17373276.52
193,10,1,2015,20744627.312656254
194,11,1,2015,20744627.312656254
195,12,1,2015,30000463.37
196,13,1,2015,27082003.91
197,14,1,2015,25218003.52
198,15,1,2015,23807644.54
199,16,1,2015,21561716.71
200,17,1,2015,20924677.654661655
201,18,1,2015,20924677.654661655
202,19,1,2015,27623905.88
203,20,1,2015,24968878.51
204,21,1,2015,22460110.89
205,22,1,2015,19474986.21
206,23,1,2015,13453903.95
207,24,1,2015,20949013.866014495
208,25,1,2015,20949013.866014495
209,26,1,2015,21002050.76
210,27,1,2015,21633161.09
211,28,1,2015,18875373.64
212,29,1,2015,23095800.71
213,30,1,2015,20416916.98
214,31,1,2015,20950959.557272732
215,1,2,2015,20950959.557272732
216,2,2,2015,21764932.7
217,3,2,2015,19871217.12
218,4,2,2015,20530823.8
219,5,2,2015,22737001.2
220,6,2,2015,19827487.5
221,7,2,2015,20950801.885202706
222,8,2,2015,20950801.885202706
223,9,2,2015,22378492.61
224,10,2,2015,24094889.7
225,11,2,2015,23719198.62
226,12,2,2015,26733443.92
227,13,2,2015,20888293.37
228,14,2,2015,21036163.380588237
229,15,2,2015,21036163.380588237
230,16,2,2015,21036163.380588237
231,17,2,2015,21036163.380588237
232,18,2,2015,33304444.46
233,19,2,2015,22315617.07
234,20,2,2015,21123568.12103226
235,21,2,2015,21123568.12103226
236,22,2,2015,21123568.12103226
237,23,2,2015,21278370.82
238,24,2,2015,20659296.51
239,25,2,2015,21504732.05
240,26,2,2015,20442908.62
241,27,2,2015,15571631.86
242,28,2,2015,21085062.491375007
243,1,3,2015,21085062.491375007
244,2,3,2015,17700306.78
245,3,3,2015,18023918.17
246,4,3,2015,19469824.01
247,5,3,2015,18379935.41
248,6,3,2015,17481230.65
249,7,3,2015,20997970.991757583
250,8,3,2015,20997970.991757583
251,9,3,2015,22329825.68
252,10,3,2015,23358644.32
253,11,3,2015,23624591.2
254,12,3,2015,22836900.57
255,13,3,2015,15710012.99
256,14,3,2015,21014854.04941177
257,15,3,2015,21014854.04941177
258,16,3,2015,30036017.24
259,17,3,2015,24400656.96
260,18,3,2015,21597666.74
261,19,3,2015,19828937.45
262,20,3,2015,13164107.93
263,21,3,2015,21037443.284114286
264,22,3,2015,21037443.284114286
265,23,3,2015,21037443.284114286
266,24,3,2015,21037443.284114286
267,25,3,2015,24826723.47
268,26,3,2015,25826766.26
