,dow,dom,month,year,in_demand,out_demand,prev_holi,pos_holi
0,3,1,7,2014,159574112.0,159698787.0,0,0
1,4,2,7,2014,250625431.0,250446956.0,0,0
2,5,3,7,2014,112550519.0,111882519.0,0,0
3,6,4,7,2014,162298204.0,162972604.0,0,0
4,7,5,7,2014,0.0,0.0,0,0
5,1,6,7,2014,0.0,0.0,0,0
6,2,7,7,2014,141972486.0,141696776.0,0,0
7,3,8,7,2014,114817449.0,115355824.0,0,1
8,4,9,7,2014,0.0,0.0,0,0
9,5,10,7,2014,154385344.0,153680769.0,1,0
10,6,11,7,2014,92837795.0,92293765.0,0,0
11,7,12,7,2014,0.0,0.0,0,0
12,1,13,7,2014,0.0,0.0,0,0
13,2,14,7,2014,184132248.0,184820278.0,0,0
14,3,15,7,2014,135914501.0,136332771.0,0,0
15,4,16,7,2014,146598993.0,145658333.0,0,0
16,5,17,7,2014,124827138.0,124747658.0,0,0
17,6,18,7,2014,96965747.0,97496227.0,0,0
18,7,19,7,2014,0.0,0.0,0,0
19,1,20,7,2014,0.0,0.0,0,0
20,2,21,7,2014,93771148.0,93943848.0,0,0
21,3,22,7,2014,58152891.0,58180391.0,0,0
22,4,23,7,2014,97991379.0,98392109.0,0,0
23,5,24,7,2014,108366923.0,107711733.0,0,0
24,6,25,7,2014,84186655.0,85132615.0,0,0
25,7,26,7,2014,0.0,0.0,0,0
26,1,27,7,2014,0.0,0.0,0,0
27,2,28,7,2014,103508010.0,103025910.0,0,0
28,3,29,7,2014,117593023.0,117996993.0,0,0
29,4,30,7,2014,131261995.0,130240425.0,0,0
30,5,31,7,2014,248128204.0,248051544.0,0,0
31,6,1,8,2014,79710166.0,80716181.0,0,0
32,7,2,8,2014,0.0,0.0,0,0
33,1,3,8,2014,0.0,0.0,0,0
34,2,4,8,2014,143850751.0,142468226.0,0,0
35,3,5,8,2014,110016459.0,111049049.0,0,0
36,4,6,8,2014,119186415.0,118047665.0,0,0
37,5,7,8,2014,91163155.0,91809305.0,0,0
38,6,8,8,2014,198491831.0,199218586.0,0,0
39,7,9,8,2014,0.0,0.0,0,0
40,1,10,8,2014,0.0,0.0,0,0
41,2,11,8,2014,170309989.0,169871294.0,0,0
42,3,12,8,2014,112588365.0,112720530.0,0,0
43,4,13,8,2014,109826013.0,109734838.0,0,0
44,5,14,8,2014,98827682.0,99087712.0,0,0
45,6,15,8,2014,158378118.0,158380188.0,0,1
46,7,16,8,2014,0.0,0.0,0,0
47,1,17,8,2014,0.0,0.0,0,0
48,2,18,8,2014,0.0,0.0,0,0
49,3,19,8,2014,142727410.0,142517010.0,1,0
50,4,20,8,2014,182828800.0,182987355.0,0,0
51,5,21,8,2014,151175671.0,151439146.0,0,0
52,6,22,8,2014,69543571.0,69586734.0,0,0
53,7,23,8,2014,0.0,0.0,0,0
54,1,24,8,2014,0.0,0.0,0,0
55,2,25,8,2014,196121091.0,196198298.0,0,0
56,3,26,8,2014,216549797.0,216044542.0,0,0
57,4,27,8,2014,161202457.0,161032642.0,0,1
58,5,28,8,2014,0.0,0.0,0,0
59,6,29,8,2014,157583760.0,157808140.0,1,0
60,7,30,8,2014,0.0,0.0,0,0
61,1,31,8,2014,0.0,0.0,0,0
62,2,1,9,2014,114711889.0,114413109.0,0,0
63,3,2,9,2014,159539855.0,159852805.0,0,0
64,4,3,9,2014,220503809.0,220081369.0,0,0
65,5,4,9,2014,114897715.0,115167180.0,0,0
66,6,5,9,2014,122393700.0,122560475.0,0,0
67,7,6,9,2014,0.0,0.0,0,0
68,1,7,9,2014,0.0,0.0,0,0
69,2,8,9,2014,109928795.0,110218345.0,0,0
70,3,9,9,2014,131766979.0,131409079.0,0,0
71,4,10,9,2014,101759454.0,101454614.0,0,0
72,5,11,9,2014,113758167.0,114268282.0,0,0
73,6,12,9,2014,130483404.0,129998954.0,0,0
74,7,13,9,2014,0.0,0.0,0,0
75,1,14,9,2014,0.0,0.0,0,0
76,2,15,9,2014,121542475.0,122083975.0,0,0
77,3,16,9,2014,87744581.0,87488596.0,0,0
78,4,17,9,2014,85327268.0,84938213.0,0,0
79,5,18,9,2014,78497423.0,79119883.0,0,0
80,6,19,9,2014,98027893.0,98047893.0,0,0
81,7,20,9,2014,0.0,0.0,0,0
82,1,21,9,2014,0.0,0.0,0,0
83,2,22,9,2014,79198965.0,79487625.0,0,0
84,3,23,9,2014,107911581.0,108102411.0,0,0
85,4,24,9,2014,101621484.0,100982434.0,0,0
86,5,25,9,2014,134302052.0,134514967.0,0,0
